Name,Type,Gender,URL
Ronda Rousey,Sports,female,https://www.google.com/search?q=ronda+rousey&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=15JCY5bUDtiHz7sPmKKTiAE&oq=ronda&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgAMgoIABCxAxCDARBDMgQIABBDMgQIABBDMgQIABBDMgUIABCABDILCAAQgAQQsQMQgwEyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEOggIABCxAxCDAToICAAQgAQQsQM6BwgAELEDEENQAFjJA2CrDWgAcAB4AIABVIgBzwKSAQE1mAEAoAEBwAEB&sclient=gws-wiz-news
Simone Biles,Sports,female,https://www.google.com/search?q=simone+biles&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=6JJCY4L5ILfFz7sP9furwAc&oq=simone+&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgAMgcIABCxAxBDMgsIABCABBCxAxCDATIFCAAQgAQyBQgAEIAEMgsIABCABBCxAxCDATIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEOgQIABBDOggIABCxAxCDAToICAAQgAQQsQNQAFjwBWDDDWgAcAB4AIABQYgBiwOSAQE3mAEAoAEBwAEB&sclient=gws-wiz-news
Cristiano Ronaldo,Sports,male,https://www.google.com/search?q=cristiano+ronaldo&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=-ZJCY7GkDsWa8QPDn5TIBg&oq=christ&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgBMgUIABCABDIKCAAQgAQQsQMQCjIFCAAQgAQyBQgAEIAEMgoIABCABBCxAxAKMgUIABCABDIHCAAQgAQQCjIHCAAQgAQQCjIKCAAQgAQQsQMQCjIKCAAQgAQQsQMQCjoKCAAQsQMQgwEQQzoLCAAQgAQQsQMQgwE6BAgAEEM6CAgAELEDEIMBOgcIABCxAxBDOggIABCABBCxA1AAWPoPYMoaaAFwAHgAgAFKiAGmA5IBATeYAQCgAQHAAQE&sclient=gws-wiz-news
Serena Williams,Sports,female,https://www.google.com/search?q=serena+williams&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=C5NCY9LXIKajz7sPsd-42Aw&oq=serena+will&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgAMgcIABCxAxBDMgQIABBDMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQ6CAgAELEDEIMBOggIABCABBCxAzoLCAAQgAQQsQMQgwE6CggAELEDEIMBEENQAFikDGCjF2gAcAB4AIABQIgBygSSAQIxMZgBAKABAcABAQ&sclient=gws-wiz-news
Suzy ,Singer,female,https://www.google.com/search?q=suzy&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=G5NCY8etLoev3LUPvfSQ-Aw&ved=0ahUKEwiHp8nJ6dL6AhWHF7cAHT06BM8Q4dUDCA0&uact=5&oq=suzy&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAzIKCAAQsQMQgwEQQzIICAAQgAQQsQMyBQgAEIAEMgQIABADMgQIABADMgUIABCABDIFCAAQgAQyCAgAEIAEELEDMgUIABCABDIECAAQQzoICAAQsQMQgwE6CwgAEIAEELEDEIMBOgUIABCxA1AAWLgCYI4EaABwAHgAgAFNiAHuAZIBATSYAQCgAQHAAQE&sclient=gws-wiz-news
Dara ,Singer,female,https://www.google.com/search?q=dara+2ne1&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=PpNCY5nIEZbL3LUPj7aIiAw&ved=0ahUKEwiZ34Ta6dL6AhWWJbcAHQ8bAsEQ4dUDCA0&uact=5&oq=dara+2ne1&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQ6CggAELEDEIMBEEM6CAgAELEDEIMBOgsIABCABBCxAxCDAToECAAQQ1DXAlj1EGC6EWgAcAB4AIABOIgBqwKSAQE2mAEAoAEBwAEB&sclient=gws-wiz-news
Jiyeon ,Singer,female,https://www.google.com/search?q=jiyeon+&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=QpNCY4_OHrSoz7sPvL2zuAM&ved=0ahUKEwiP94Xc6dL6AhU01HMBHbzeDDcQ4dUDCA0&uact=5&oq=jiyeon+&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAzIFCAAQgAQyBQgAEIAEMgUIABCRAjIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQ6CwgAEIAEELEDEIMBOggIABCxAxCDAToICAAQgAQQsQM6CggAELEDEIMBEEM6CwgAELEDEIMBEJECUABYkwhg3iFoAHAAeACAAUeIAaUDkgEBN5gBAKABAcABAQ&sclient=gws-wiz-news
Hyuna ,Singer,female,https://www.google.com/search?q=Hyuna&biw=1978&bih=838&sxsrf=ALiCzsYrolyyJrlqStnG8jRcmBTWm7yxew%3A1665307135017&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Tzuyu ,Singer,female,https://www.google.com/search?q=Tzuyu&biw=1978&bih=838&sxsrf=ALiCzsY5HQRqhj-N1qFO-CJ4C3rQam5xCg%3A1665307195416&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Jeon Jeongguk ,Singer,male,https://www.google.com/search?q=Jeon+Jeongguk&biw=1978&bih=838&sxsrf=ALiCzsZzE9ZStrGgvWzeq7-bza0fTgSFnw%3A1665307222899&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
